RTA,Somme,Nombre de donateurs,Moyenne
G0A,70127.81,837,83.78471923536439
G0C,53550.0,654,81.88073394495413
G0E,3000.0,45,66.66666666666667
G0G,6605.0,107,61.728971962616825
G0H,4709.0,68,69.25
G0J,46870.0,596,78.64093959731544
G0K,14097.0,192,73.421875
G0L,39371.26,533,73.86727954971857
G0M,7842.0,91,86.17582417582418
G0N,4961.7,77,64.43766233766233
G0P,11125.0,124,89.71774193548387
G0R,72962.0,882,82.7233560090703
G0S,48834.88,567,86.12853615520282
G0T,9816.62,132,74.36833333333334
G0V,10705.0,166,64.48795180722891
G0W,20100.0,260,77.3076923076923
G0X,54575.52,671,81.33460506706408
G0Y,12217.0,122,100.13934426229508
G0Z,4210.0,44,95.68181818181819
G1B,4515.0,62,72.8225806451613
G1C,18194.0,231,78.76190476190476
G1E,23359.0,277,84.32851985559567
G1G,19575.0,255,76.76470588235294
G1H,24960.89,331,75.41054380664653
G1J,18007.0,208,86.57211538461539
G1K,23392.0,254,92.09448818897638
G1L,24350.51,275,88.54730909090908
G1M,13478.18,177,76.14790960451978
G1N,4685.0,67,69.92537313432835
G1P,6967.0,91,76.56043956043956
G1R,74146.0,792,93.61868686868686
G1S,137379.25,1477,93.01235612728503
G1T,27830.0,255,109.13725490196079
G1V,52115.0,564,92.40248226950355
G1W,56545.0,607,93.15485996705107
G1X,54645.0,632,86.4636075949367
G1Y,32980.0,368,89.6195652173913
G2A,9685.0,120,80.70833333333333
G2B,12006.62,157,76.47528662420383
G2C,6310.0,84,75.11904761904762
G2E,14164.98,171,82.83614035087719
G2G,10690.0,108,98.98148148148148
G2J,1630.0,28,58.214285714285715
G2K,13799.0,173,79.76300578034682
G2L,12659.0,173,73.17341040462428
G2M,3135.0,44,71.25
G2N,4325.0,55,78.63636363636364
G3A,27552.0,304,90.63157894736842
G3B,11180.0,122,91.63934426229508
G3C,5211.64,67,77.78567164179105
G3E,6117.89,79,77.44164556962026
G3G,3092.0,36,85.88888888888889
G3H,1255.0,19,66.05263157894737
G3J,880.0,22,40.0
G3K,5805.0,66,87.95454545454545
G3L,5506.0,72,76.47222222222223
G3M,4412.0,67,65.85074626865672
G3N,4030.0,46,87.6086956521739
G3S,100.0,1,100.0
G3Z,9478.0,126,75.22222222222223
G4A,1242.0,20,62.1
G4R,19386.59,269,72.06910780669145
G4S,2785.0,46,60.54347826086956
G4T,24640.0,312,78.97435897435898
G4V,2650.0,32,82.8125
G4W,36312.0,466,77.92274678111588
G4X,25315.5,310,81.66290322580645
G4Z,10575.0,124,85.28225806451613
G5A,12005.0,183,65.60109289617486
G5B,5130.0,69,74.34782608695652
G5C,12820.0,167,76.76646706586827
G5H,9685.0,122,79.38524590163935
G5J,11295.0,135,83.66666666666667
G5L,56422.0,731,77.18467852257182
G5M,12545.15,182,68.92939560439561
G5N,9080.0,119,76.30252100840336
G5R,15440.0,215,71.81395348837209
G5T,2820.0,28,100.71428571428571
G5V,11820.0,144,82.08333333333333
G5X,1305.0,21,62.142857142857146
G5Y,9920.0,125,79.36
G5Z,1195.0,13,91.92307692307692
G6B,12655.0,155,81.64516129032258
G6C,1185.31,15,79.02066666666666
G6E,1435.0,13,110.38461538461539
G6G,6515.0,97,67.16494845360825
G6H,3450.0,66,52.27272727272727
G6J,8480.0,86,98.6046511627907
G6K,10075.0,111,90.76576576576576
G6L,6082.0,95,64.02105263157895
G6P,19962.0,242,82.48760330578513
G6R,1520.0,22,69.0909090909091
G6S,2300.0,28,82.14285714285714
G6T,5700.0,64,89.0625
G6V,39855.0,503,79.23459244532803
G6W,21136.3,245,86.27061224489796
G6X,9765.0,113,86.41592920353982
G6Y,3865.0,52,74.32692307692308
G6Z,20640.0,249,82.89156626506023
G7A,27300.0,301,90.69767441860465
G7B,12557.0,194,64.72680412371135
G7G,17082.0,189,90.38095238095238
G7H,49825.3,526,94.72490494296578
