RTA,Year,Somme,Nombre de donateurs
G0A,2019,3178.88,46
G0A,2020,6267.0,87
G0A,2021,4865.0,69
G0A,2022,18034.0,162
G0A,2023,8964.0,130
G0A,2024,10598.98,138
G0A,2025,11254.96,142
G0A,2026,6964.99,63
G0C,2019,5010.0,72
G0C,2020,5345.0,68
G0C,2021,5800.0,83
G0C,2022,14735.0,142
G0C,2023,6005.0,85
G0C,2024,6570.0,89
G0C,2025,5880.0,74
G0C,2026,4205.0,41
G0E,2019,105.0,2
G0E,2020,360.0,5
G0E,2021,275.0,4
G0E,2022,1045.0,13
G0E,2023,255.0,4
G0E,2024,445.0,8
G0E,2025,315.0,7
G0E,2026,200.0,2
G0G,2019,530.0,13
G0G,2020,985.0,18
G0G,2021,590.0,13
G0G,2022,925.0,15
G0G,2023,780.0,13
G0G,2024,1220.0,16
G0G,2025,960.0,13
G0G,2026,615.0,6
G0H,2019,816.0,17
G0H,2020,610.0,10
G0H,2021,145.0,4
G0H,2022,1623.0,11
G0H,2023,335.0,7
G0H,2024,460.0,8
G0H,2025,445.0,7
G0H,2026,275.0,4
G0J,2019,3585.0,53
G0J,2020,4525.0,64
G0J,2021,4880.0,75
G0J,2022,12325.0,115
G0J,2023,5980.0,85
G0J,2024,7120.0,96
G0J,2025,5620.0,76
G0J,2026,2835.0,32
G0K,2019,935.0,15
G0K,2020,1447.0,24
G0K,2021,1175.0,18
G0K,2022,3865.0,41
G0K,2023,1555.0,24
G0K,2024,2250.0,29
G0K,2025,1815.0,28
G0K,2026,1055.0,13
G0L,2019,3736.0,62
G0L,2020,4827.0,65
G0L,2021,3050.0,51
G0L,2022,8425.0,86
G0L,2023,4255.0,63
G0L,2024,6124.98,87
G0L,2025,6124.96,88
G0L,2026,2828.32,31
G0M,2019,415.0,6
G0M,2020,520.0,10
G0M,2021,790.0,10
G0M,2022,2080.0,16
G0M,2023,1067.0,15
G0M,2024,1145.0,14
G0M,2025,1095.0,13
G0M,2026,730.0,7
G0N,2019,70.0,3
G0N,2020,175.0,5
G0N,2021,120.0,2
G0N,2022,1536.7,18
G0N,2023,580.0,11
G0N,2024,845.0,13
G0N,2025,1260.0,20
G0N,2026,375.0,5
G0P,2019,715.0,8
G0P,2020,1005.0,14
G0P,2021,1080.0,15
G0P,2022,3685.0,29
G0P,2023,1345.0,19
G0P,2024,1215.0,15
G0P,2025,1430.0,18
G0P,2026,650.0,6
G0R,2019,5840.0,94
G0R,2020,5932.0,87
G0R,2021,6625.0,92
G0R,2022,16120.0,142
G0R,2023,9835.0,126
G0R,2024,11310.0,146
G0R,2025,10965.0,144
G0R,2026,6335.0,51
G0S,2019,3385.0,47
G0S,2020,7095.0,97
G0S,2021,4630.0,71
G0S,2022,11790.0,100
G0S,2023,5546.64,67
G0S,2024,6129.96,76
G0S,2025,5644.96,70
G0S,2026,4613.32,39
